index,Barcode,Multiplex_key,Number_of_reads,Block,Line,Germination_cohort,Shape,FloweringDOY,Flowered_by_collection,Leaf_area_cm2,Perimeter_cm,Circularity,Round,Solidity
1,VAL12505755_PCR-F05,FLD_ill_038_i7-IDT_i5_9,"49,594",1,891,2,M,NA,N,25.964,29.263,0.381,0.946,0.777
2,VAL12505755_PCR-F06,FLD_ill_046_i7-IDT_i5_10,"55,757",1,1192,1,L,247,Y,30.657,87.639,0.05,0.83,0.313
3,VAL12505755_PCR-D11,FLD_ill_084_i7-IDT_i5_3,"58,690",1,681,2,M,247,Y,33.886,32.293,0.408,0.962,0.759
4,VAL12505755_PCR-G06,FLD_ill_047_i7-IDT_i5_10,"47,351",1,315,2,L,247,Y,22.748,31.962,0.28,0.941,0.649
5,VAL12505755_PCR-H09,FLD_ill_072_i7-IDT_i5_1,"44,077",1,822,1,M,240,Y,35.368,32.543,0.42,0.912,0.828
6,VAL12505755_PCR-D04,FLD_ill_028_i7-IDT_i5_8,"52,521",1,611,1,H,240,Y,45.583,28.513,0.705,0.952,0.948
7,VAL12505754_PCR-F08,FLD_ill_062_i7-IDT_i5_11,"18,906",1,1253,2,M,NA,N,27.986,28.643,0.429,0.959,0.795
8,VAL12505756_PCR-B12,FLD_ill_090_i7-IDT_i5_5,"51,780",1,301,2,M,NA,N,31.058,30.852,0.41,0.952,0.762
9,VAL12505755_PCR-D03,FLD_ill_020_i7-IDT_i5_7,"51,546",1,1199,1,M,228,Y,21.89,26.371,0.396,0.893,0.78
10,VAL12505755_PCR-G12,FLD_ill_095_i7-IDT_i5_4,"63,368",1,1237,1,H,247,Y,26,22.172,0.665,0.886,0.916
11,VAL12505755_PCR-G07,FLD_ill_055_i7-IDT_i5_11,"56,199",1,208,1,M,240,Y,34.764,33.451,0.39,0.927,0.78
12,VAL12505755_PCR-H03,FLD_ill_024_i7-IDT_i5_7,"47,752",1,351,1,H,240,Y,40.303,NA,NA,NA,NA
13,VAL12505755_PCR-D02,FLD_ill_012_i7-IDT_i5_6,"49,213",1,500,1,L,240,Y,32.72,36.455,0.309,0.939,0.723
14,,,,,,,,,,,,,,
15,VAL12505755_PCR-G09,FLD_ill_071_i7-IDT_i5_1,"60,116",1,427,2,M,NA,N,34.111,31.479,0.433,0.913,0.786
16,VAL12505756_PCR-A09,FLD_ill_065_i7-IDT_i5_2,"43,610",1,1158,1,H,240,Y,43.147,29.452,0.625,0.926,0.931
17,VAL12505755_PCR-G05,FLD_ill_039_i7-IDT_i5_9,"70,964",1,861,1,L,247,Y,28.528,31.7,0.357,0.959,0.804
18,VAL12505755_PCR-H08,FLD_ill_064_i7-IDT_i5_12,"55,282",1,1253,2,M,247,Y,38.324,35.13,0.39,0.902,0.763
19,VAL12505755_PCR-A03,FLD_ill_017_i7-IDT_i5_7,"45,938",1,742,2,L,NA,N,13.911,21.982,0.362,0.949,0.775
20,VAL12505756_PCR-C01,FLD_ill_003_i7-IDT_i5_6,"40,165",1,1023,2,M,NA,N,22.395,22.531,0.554,0.949,0.843
21,VAL12505755_PCR-H01,FLD_ill_008_i7-IDT_i5_5,"40,208",1,946,1,M,247,Y,31,32.797,0.362,0.915,0.768
22,VAL12505754_PCR-B06,FLD_ill_042_i7-IDT_i5_9,"32,923",1,637,2,H,NA,N,26.366,NA,NA,NA,NA
