,Actinotelluria,Agrobacterium,Arthrobacter,Chryseobacterium,Deinococcus,Devosia,Frigoribacterium,Hymenobacter,Kineococcus,Methylobacterium,Nocardioides,Pseudomonas,Roseomonas,Rubellimicrobium,Sphingomonas
100,23,123,31,44,7,0,41,188,40,3917,42,106,75,0,641
101,14,89,37,87,30,32,70,408,57,1659,69,57,16,29,2018
102,19,83,20,104,219,23,84,499,44,1956,55,72,25,11,1725
103,0,127,23,50,64,17,90,355,52,6240,111,123,37,0,3238
104,0,0,0,0,4,0,0,0,0,156,0,28,0,0,399
105,0,45,38,16,19,0,98,175,64,478,20,266,11,0,972
106,83,266,80,201,282,180,116,618,103,4215,334,91,83,59,2094
108,46,105,17,69,57,0,38,310,76,1702,53,58,0,0,822
109,0,0,0,0,0,0,34,156,0,1586,0,41,0,0,437
10,0,42,12,11,15,0,101,201,0,1158,0,619,0,0,715
110,162,53,76,191,3146,78,64,834,70,7684,158,35,54,29,1486
111,0,128,24,362,17,12,0,121,0,3371,53,14,10,0,1941
112,10,0,0,49,0,0,0,111,18,1140,0,63,0,0,857
113,82,147,167,0,651,58,207,1073,91,3767,221,44,83,120,2236
114,88,75,62,0,103,52,94,639,56,2875,159,36,141,75,1281
115,43,0,0,113,125,33,47,96,25,1507,0,69,0,0,1104
116,0,0,22,36,32,0,0,274,24,1406,33,83,0,0,872
117,38,113,28,277,0,0,107,229,0,3650,0,256,37,0,2657
118,18,0,24,24,168,0,0,194,30,1646,0,39,16,0,528
119,0,14,0,3,22,0,0,109,0,1665,41,20,0,0,201
11,103,95,25,98,6401,34,74,547,155,5108,68,26,85,0,1419
120,0,20,0,0,107,0,0,49,9,1566,0,28,3,0,540
121,29,120,64,195,0,0,97,592,31,2192,0,373,47,0,4219
122,0,37,203,89,185,60,108,86,0,797,151,445,0,0,1790
123,0,0,0,0,21,0,10,134,0,443,0,17,7,0,449
124,0,30,27,44,538,26,75,636,30,5101,25,45,44,26,1583
125,0,52,0,31,0,0,51,19,0,1750,0,56,0,0,1024
126,280,501,258,379,1065,120,105,1710,340,4834,409,206,97,99,2479
127,0,32,0,0,46,11,39,240,0,1937,45,23,11,0,491
128,0,0,16,34,0,0,0,130,0,1456,0,0,0,0,697
129,38,181,0,455,223,0,238,685,102,4137,55,161,49,0,2818
12,34,143,149,26,10,62,161,417,48,3183,147,154,84,0,2431
130,82,417,24,501,430,112,324,1502,166,7211,93,46,153,26,4894
131,0,0,80,0,12,0,0,131,0,313,69,68,0,21,315
132,0,0,38,0,212,0,37,221,0,803,37,234,0,0,896
133,18,24,63,15,0,61,0,818,0,2882,0,23,17,43,377
134,144,161,59,20,187,102,158,832,185,5475,132,94,116,0,2964
135,94,32,21,0,130,19,56,1179,79,5717,57,34,53,6,864
136,0,0,0,0,15,0,28,123,0,525,0,29,0,0,484
137,0,26,21,53,16,0,0,155,0,1958,37,35,0,0,777
138,132,140,61,16,88,112,164,817,97,5981,362,49,85,84,1341
139,0,0,0,8,165,0,0,53,0,1288,0,57,0,0,683
13,16,23,0,0,283,0,92,560,17,2010,9,134,0,0,1256
