Feature ID,Taxon,Confidence
#q2:types,categorical,categorical
696f572c1cc3c521c294f1310cf077f7,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999995
4a03d5fbbe0f41c9087f6b92453e6b10,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999996
14dd6ecde806eba965503dc2d68fe2a0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997579563
9a016be26fec94d1009df4d8cfa27839,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
4a12bdd3d89dcb528552b402720346ae,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
5b3f6a3f77ac69b0dad0e4ccc726f1ea,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
09e6a4d9d8d9c4d6931c5324fb932d9e,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997745347
cc04545a7728caa748bda96062065bc2,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
9778445712453bd6dca28f3fc3667891,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999997
d1a7d7420b5ed6e59fddcba4f8279d29,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997731948
1054705d975fa292a65a353a25a3b53a,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997102425
8d7315ab67148f5f5790452850aadba4,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
a5a60e369c68ca5b2371918943610703,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
bb7d3c269a9417b8cceb29bd2ba7ad0c,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999996
f70ab14c1d2fa16ab9b9109f2ef7b41b,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae,0.9999874036
9f31073a5f66f60fc3993cafd9018e53,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9998786617
d7fc16abe80edcbe642c398ef8d02d40,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.999099196
26722df18c97c5f228c7a3f0537c0e06,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999989
71534f0620a396fe9448197c6381dea5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997659522
ab9e6d043c91a006a828db7002dfea8b,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
eab252789537c2f537921de615ccbabc,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999995
0131f52ac8420a9bf290190f87ee27e5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9998399423
51a552da3026d30cb5853a80e86ef016,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997269457
1d5582907c196308d560ca930aecc36d,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,1
c6a5f694b4964eb2a125b77da11ac6b8,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum,0.9997904607
a4acb691b2b954eb34eb11639013db82,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,0.9999999992
fc34bec8f6f8414b6048a577a79e0fc9,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__,0.8031072283
50d86b66d4ab2bc265f57985061a0839,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium,0.9999999916
